N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto
C579925,2021-12-01,15544.0,United Kingdom,-3,"-2,55"
550535,2021-04-19,14211.0,United Kingdom,72,"155,60"
555213,2021-06-01,13094.0,United Kingdom,144,"152,64"
549923,2021-04-13,13138.0,United Kingdom,72,"193,62"
575198,2021-11-09,12921.0,United Kingdom,19,"71,25"
C549986,2021-04-13,18178.0,United Kingdom,-2,"-7,50"
569005,2021-09-29,16268.0,United Kingdom,465,"493,76"
566307,2021-09-12,14307.0,United Kingdom,323,"656,23"
539049,2020-12-15,15615.0,United Kingdom,364,"1048,64"
549684,2021-04-11,00000,United Kingdom,1,"30,00"
580068,2021-12-01,17321.0,United Kingdom,5,"41,25"
542745,2021-01-31,15881.0,United Kingdom,154,"339,29"
575525,2021-11-10,13983.0,United Kingdom,72,"128,88"
C562884,2021-08-10,14056.0,United Kingdom,-3,"-9,75"
C560842,2021-07-21,14527.0,United Kingdom,-1,"-12,15"
542936,2021-02-02,00000,United Kingdom,144,"161,56"
565682,2021-09-06,14796.0,United Kingdom,467,"835,95"
C562514,2021-08-05,13408.0,United Kingdom,-1,"-11,95"
562220,2021-08-03,15150.0,United Kingdom,108,"304,42"
562002,2021-08-01,14567.0,United Kingdom,172,"800,76"
C561210,2021-07-25,17841.0,United Kingdom,-10,"-12,50"
C545502,2021-03-03,15078.0,United Kingdom,-10,"-19,50"
538010,2020-12-09,17526.0,United Kingdom,40,"226,80"
579089,2021-11-28,17920.0,United Kingdom,58,"111,11"
560713,2021-07-20,16774.0,United Kingdom,56,"160,80"
571098,2021-10-13,17841.0,United Kingdom,200,"437,43"
574994,2021-11-08,17870.0,United Kingdom,62,"143,11"
570257,2021-10-10,13767.0,United Kingdom,129,"380,31"
541669,2021-01-20,17315.0,United Kingdom,172,"331,76"
C560687,2021-07-20,14606.0,United Kingdom,-28,"-23,37"
C569891,2021-10-06,13924.0,United Kingdom,-19,"-65,09"
552404,2021-05-09,15932.0,United Kingdom,262,"305,02"
566035,2021-09-08,12839.0,United Kingdom,286,"413,58"
576911,2021-11-17,17461.0,United Kingdom,342,"349,20"
572272,2021-10-21,13171.0,United Kingdom,60,"132,54"
577783,2021-11-21,18139.0,United Kingdom,1644,"2786,40"
578757,2021-11-25,12748.0,United Kingdom,256,"420,41"
C553557,2021-05-17,13266.0,United Kingdom,-2,"-3,20"
542351,2021-01-27,14560.0,United Kingdom,39,"152,25"
558245,2021-06-27,00000,United Kingdom,8,"0,00"
C578090,2021-11-22,12483.0,Sweden,-2,"-80,00"
559164,2021-07-06,16422.0,United Kingdom,406,"587,46"
578150,2021-11-23,16020.0,United Kingdom,10,"16,50"
558770,2021-07-03,12748.0,United Kingdom,60,"115,55"
C569552,2021-10-04,14533.0,United Kingdom,-1200,"-84,00"
C550646,2021-04-19,16873.0,United Kingdom,-6,"-14,40"
C571329,2021-10-17,17706.0,United Kingdom,-13,"-50,80"
C544557,2021-02-21,17422.0,United Kingdom,-15,"-55,35"
C539277,2020-12-16,15777.0,United Kingdom,-3,"-25,50"
C577731,2021-11-21,17811.0,United Kingdom,-6,"-11,70"
580386,2021-12-04,18065.0,United Kingdom,50,"188,90"
C553866,2021-05-19,14620.0,United Kingdom,-26,"-19,50"
570252,2021-10-10,14665.0,United Kingdom,238,"559,52"
536782,2020-12-02,17567.0,United Kingdom,244,"517,95"
C544594,2021-02-21,15079.0,United Kingdom,-1,"-1,95"
571082,2021-10-13,00000,United Kingdom,479,"1354,71"
551984,2021-05-05,15841.0,United Kingdom,234,"281,66"
C554931,2021-05-27,17841.0,United Kingdom,-4,"-5,00"
564476,2021-08-25,12610.0,Italy,168,"309,50"
540353,2021-01-06,13764.0,United Kingdom,282,"499,89"
558706,2021-07-01,16839.0,United Kingdom,320,"416,96"
566278,2021-09-11,13614.0,United Kingdom,67,"302,15"
540477,2021-01-07,13233.0,United Kingdom,404,"304,24"
569695,2021-10-05,16843.0,United Kingdom,938,"993,88"
C556920,2021-06-15,13047.0,United Kingdom,-3,"-13,85"
C543469,2021-02-08,12709.0,Germany,-12,"-83,98"
538308,2020-12-10,14107.0,United Kingdom,268,"363,24"
549054,2021-04-06,17719.0,United Kingdom,109,"312,19"
555626,2021-06-06,16103.0,United Kingdom,92,"270,80"
C572343,2021-10-24,14607.0,United Kingdom,-2344,"-2949,28"
C558530,2021-06-30,15039.0,United Kingdom,-2,"-17,00"
563921,2021-08-21,16407.0,United Kingdom,2,"15,90"
563943,2021-08-22,13139.0,United Kingdom,268,"540,92"
575854,2021-11-11,14125.0,United Kingdom,486,"1111,08"
552764,2021-05-11,17489.0,United Kingdom,232,"208,56"
571407,2021-10-17,13750.0,United Kingdom,85,"330,63"
548208,2021-03-29,14189.0,United Kingdom,224,"314,10"
556922,2021-06-15,12748.0,United Kingdom,5,"14,25"
572076,2021-10-20,13761.0,United Kingdom,418,"578,94"
544189,2021-02-16,15867.0,United Kingdom,36,"133,00"
562543,2021-08-05,13552.0,United Kingdom,216,"463,90"
573136,2021-10-27,12709.0,Germany,110,"268,68"
558261,2021-06-28,16945.0,United Kingdom,24,"10,08"
581482,2021-12-09,17490.0,United Kingdom,228,"488,40"
579740,2021-11-30,00000,United Kingdom,13,"32,07"
559538,2021-07-10,16880.0,United Kingdom,135,"269,49"
548862,2021-04-04,17956.0,United Kingdom,1,"12,75"
565569,2021-09-05,14111.0,United Kingdom,18,"48,30"
556047,2021-06-08,12901.0,United Kingdom,90,"276,24"
548189,2021-03-29,16607.0,United Kingdom,163,"141,41"
557213,2021-06-17,15021.0,United Kingdom,119,"218,14"
549142,2021-04-06,00000,United Kingdom,-24,"0,00"
571310,2021-10-17,13394.0,United Kingdom,463,"371,73"
542254,2021-01-26,14733.0,United Kingdom,133,"511,69"
576674,2021-11-16,00000,United Kingdom,-6,"0,00"
C553841,2021-05-19,16029.0,United Kingdom,-48,"-9,60"
548546,2021-03-31,16600.0,United Kingdom,186,"111,60"
558563,2021-06-30,14561.0,United Kingdom,192,"344,92"
543385,2021-02-07,00000,United Kingdom,1,"7,95"
546034,2021-03-09,14032.0,United Kingdom,291,"309,64"
557602,2021-06-21,14110.0,United Kingdom,156,"379,72"
544596,2021-02-21,16441.0,United Kingdom,110,"211,00"
553006,2021-05-12,15544.0,United Kingdom,393,"560,35"
542634,2021-01-31,15448.0,United Kingdom,232,"494,64"
540536,2021-01-09,17757.0,United Kingdom,93,"145,50"
536568,2020-12-01,16048.0,United Kingdom,12,"5,04"
545686,2021-03-06,18211.0,United Kingdom,56,"137,90"
553861,2021-05-19,13591.0,United Kingdom,135,"314,03"
C551015,2021-04-26,12753.0,Japan,-33,"-85,47"
567370,2021-09-20,14236.0,United Kingdom,272,"301,56"
560034,2021-07-14,13933.0,United Kingdom,113,"300,99"
547419,2021-03-23,15061.0,United Kingdom,1135,"1649,58"
C565681,2021-09-06,15521.0,United Kingdom,-92,"-192,40"
565081,2021-09-01,00000,United Kingdom,1,"0,00"
565680,2021-09-06,14560.0,United Kingdom,240,"100,80"
561244,2021-07-26,13865.0,United Kingdom,54,"100,82"
C576831,2021-11-16,12748.0,United Kingdom,-1082,"-1301,00"
542155,2021-01-26,15777.0,United Kingdom,112,"285,60"
572023,2021-10-20,17764.0,United Kingdom,247,"556,85"
577749,2021-11-21,16242.0,United Kingdom,299,"534,20"
C537383,2020-12-06,16550.0,United Kingdom,-3,"-9,05"
550901,2021-04-21,13389.0,United Kingdom,115,"257,89"
555546,2021-06-05,17735.0,United Kingdom,118,"228,30"
561900,2021-07-31,16655.0,United Kingdom,523,"638,19"
547963,2021-03-28,13037.0,United Kingdom,158,"250,42"
575968,2021-11-13,14882.0,United Kingdom,92,"341,80"
571745,2021-10-19,14911.0,EIRE,711,"1588,75"
539986,2020-12-23,00000,United Kingdom,7,"15,25"
543115,2021-02-03,14606.0,United Kingdom,72,"120,75"
552947,2021-05-12,16943.0,United Kingdom,20,"172,10"
550002,2021-04-14,12709.0,Germany,41,"68,00"
551320,2021-04-27,00000,United Kingdom,60,"0,00"
569539,2021-10-04,18102.0,United Kingdom,112,"557,76"
569863,2021-10-06,00000,United Kingdom,1,"9,95"
545812,2021-03-07,14214.0,United Kingdom,313,"638,65"
569740,2021-10-06,15769.0,United Kingdom,1600,"2924,00"
564648,2021-08-26,15641.0,United Kingdom,466,"581,82"
573751,2021-11-01,00000,United Kingdom,10,"0,00"
551859,2021-05-04,14336.0,United Kingdom,301,"230,03"
538070,2020-12-09,16519.0,United Kingdom,24,"103,70"
576848,2021-11-16,15051.0,United Kingdom,124,"245,68"
546442,2021-03-14,15159.0,United Kingdom,54,"207,30"
560422,2021-07-18,16746.0,United Kingdom,162,"300,18"
541967,2021-01-24,00000,United Kingdom,-3,"0,00"
C546894,2021-03-17,14334.0,United Kingdom,-1,"-12,75"
559948,2021-07-14,12653.0,Israel,633,"1430,75"
539688,2020-12-21,12678.0,France,1,"150,00"
548916,2021-04-05,14849.0,United Kingdom,377,"422,34"
576767,2021-11-16,00000,United Kingdom,-60,"0,00"
565851,2021-09-07,14911.0,EIRE,332,"637,29"
538909,2020-12-15,13491.0,United Kingdom,18,"97,50"
553475,2021-05-17,18102.0,United Kingdom,306,"866,40"
536523,2020-12-01,12868.0,United Kingdom,112,"203,30"
547571,2021-03-24,16265.0,United Kingdom,182,"432,30"
557871,2021-06-23,13458.0,United Kingdom,130,"300,78"
C565290,2021-09-02,16092.0,United Kingdom,-24,"-30,00"
553017,2021-05-12,12757.0,Portugal,311,"602,83"
549471,2021-04-08,17389.0,United Kingdom,72,"73,50"
573924,2021-11-02,15065.0,United Kingdom,202,"299,38"
C554011,2021-05-20,13151.0,United Kingdom,-2,"-7,50"
576641,2021-11-16,17549.0,United Kingdom,150,"120,66"
574746,2021-11-07,16523.0,United Kingdom,198,"676,80"
546019,2021-03-08,14507.0,United Kingdom,50,"39,49"
556809,2021-06-14,17179.0,United Kingdom,82,"223,48"
567768,2021-09-22,15950.0,United Kingdom,123,"255,84"
574661,2021-11-06,13447.0,United Kingdom,166,"430,30"
C575940,2021-11-13,17838.0,United Kingdom,-458,"-466,60"
549838,2021-04-12,16705.0,United Kingdom,48,"96,00"
547519,2021-03-23,16308.0,United Kingdom,1000,"320,00"
C554140,2021-05-23,13004.0,United Kingdom,-4,"-15,80"
C558736,2021-07-01,18075.0,United Kingdom,-4,"-18,28"
577080,2021-11-17,17001.0,United Kingdom,172,"357,60"
560048,2021-07-14,13515.0,United Kingdom,127,"132,16"
C566963,2021-09-15,17573.0,United Kingdom,-6,"-17,70"
568709,2021-09-28,15036.0,United Kingdom,176,"219,86"
539651,2020-12-20,00000,United Kingdom,26,"32,50"
578171,2021-11-23,17685.0,United Kingdom,207,"392,40"
576400,2021-11-15,13632.0,United Kingdom,288,"452,14"
557640,2021-06-21,00000,United Kingdom,364,"1760,85"
543013,2021-02-02,00000,United Kingdom,310,"1340,77"
542083,2021-01-25,18008.0,United Kingdom,355,"130,81"
579759,2021-11-30,15251.0,United Kingdom,244,"363,88"
552215,2021-05-06,00000,United Kingdom,-41,"0,00"
537628,2020-12-07,16293.0,United Kingdom,189,"378,75"
542096,2021-01-25,17236.0,United Kingdom,141,"199,33"
549149,2021-04-06,00000,United Kingdom,-43,"0,00"
C541284,2021-01-17,17744.0,United Kingdom,-36,"-31,32"
576909,2021-11-17,12471.0,Germany,519,"1072,12"
560105,2021-07-14,16794.0,United Kingdom,263,"222,13"
541709,2021-01-21,17504.0,United Kingdom,233,"441,15"
578272,2021-11-23,17463.0,United Kingdom,126,"198,31"
555363,2021-06-02,14453.0,United Kingdom,49,"119,93"
566033,2021-09-08,16031.0,United Kingdom,204,"243,31"
571545,2021-10-17,00000,United Kingdom,11,"13,65"
562155,2021-08-03,17940.0,United Kingdom,648,"162,00"
C575142,2021-11-08,17183.0,United Kingdom,-30,"-37,50"
561047,2021-07-24,16948.0,United Kingdom,1368,"194,48"
C544442,2021-02-20,15465.0,United Kingdom,-3,"-32,85"
568527,2021-09-27,13178.0,United Kingdom,539,"765,00"
563382,2021-08-16,18221.0,United Kingdom,145,"169,85"
C560220,2021-07-15,14572.0,United Kingdom,-1,"-12,75"
C548647,2021-04-01,12888.0,United Kingdom,-3,"-29,85"
549196,2021-04-07,14911.0,EIRE,271,"356,23"
577599,2021-11-21,15738.0,United Kingdom,202,"316,90"
569567,2021-10-05,16059.0,United Kingdom,40,"105,30"
576347,2021-11-14,13268.0,United Kingdom,2,"8,20"
544569,2021-02-21,16980.0,United Kingdom,418,"732,36"
542865,2021-02-01,12929.0,United Kingdom,37,"117,85"
562789,2021-08-09,14646.0,Netherlands,7807,"12341,21"
567798,2021-09-22,13089.0,United Kingdom,331,"886,63"
C539838,2020-12-22,13458.0,United Kingdom,-10,"-16,50"
565577,2021-09-05,14177.0,United Kingdom,2,"7,50"
550915,2021-04-21,13263.0,United Kingdom,69,"133,59"
541293,2021-01-17,15311.0,United Kingdom,145,"394,57"
578688,2021-11-25,16719.0,United Kingdom,235,"292,67"
560896,2021-07-21,15623.0,United Kingdom,125,"301,03"
561711,2021-07-29,13414.0,United Kingdom,368,"532,80"
C575385,2021-11-09,15916.0,United Kingdom,-3,"-18,55"
C571023,2021-10-13,15239.0,United Kingdom,-3,"-16,25"
575701,2021-11-10,13396.0,United Kingdom,461,"973,72"
547886,2021-03-28,13652.0,United Kingdom,178,"329,44"
562467,2021-08-05,13513.0,United Kingdom,109,"205,10"
563927,2021-08-21,14013.0,United Kingdom,258,"199,22"
C565229,2021-09-02,17450.0,United Kingdom,-1,"-200,00"
581471,2021-12-08,14702.0,United Kingdom,76,"199,29"
573230,2021-10-28,13199.0,United Kingdom,48,"85,92"
568656,2021-09-28,14911.0,EIRE,70,"141,62"
554502,2021-05-24,14289.0,United Kingdom,26,"124,68"
581017,2021-12-07,14910.0,United Kingdom,80,"110,80"
C540118,2021-01-05,00000,United Kingdom,-1,"-16453,71"
540116,2021-01-05,00000,United Kingdom,2,"10,13"
546428,2021-03-13,12681.0,France,185,"343,29"
571090,2021-10-13,15271.0,United Kingdom,34,"79,50"
540856,2021-01-12,16655.0,United Kingdom,373,"812,25"
568242,2021-09-26,14931.0,Channel Islands,181,"261,65"
557599,2021-06-21,00000,United Kingdom,-1440,"0,00"
550713,2021-04-20,15159.0,United Kingdom,1,"12,50"
542100,2021-01-25,15339.0,United Kingdom,159,"257,90"
549833,2021-04-12,13458.0,United Kingdom,666,"1015,14"
571918,2021-10-19,17350.0,United Kingdom,240,"156,24"
566983,2021-09-16,00000,United Kingdom,1,"0,00"
537432,2020-12-06,00000,United Kingdom,-43,"0,00"
537759,2020-12-08,13126.0,United Kingdom,108,"203,64"
554128,2021-05-23,00000,United Kingdom,-4,"0,00"
555940,2021-06-08,14191.0,United Kingdom,98,"357,60"
C574318,2021-11-03,16729.0,United Kingdom,-7,"-20,20"
560834,2021-07-21,16523.0,United Kingdom,204,"484,40"
554366,2021-05-24,17450.0,United Kingdom,3084,"9468,48"
566520,2021-09-13,17757.0,United Kingdom,61,"161,19"
537471,2020-12-07,14344.0,United Kingdom,3,"17,85"
562034,2021-08-02,12449.0,Belgium,267,"777,95"
C562709,2021-08-08,17511.0,United Kingdom,-11,"-29,49"
572516,2021-10-24,00000,United Kingdom,-71,"0,00"
561108,2021-07-25,00000,United Kingdom,-7,"0,00"
568332,2021-09-26,13434.0,United Kingdom,240,"461,40"
556823,2021-06-15,00000,United Kingdom,8,"77,72"
C574010,2021-11-02,17841.0,United Kingdom,-3,"-10,35"
537456,2020-12-07,17450.0,United Kingdom,780,"1989,24"
569693,2021-10-05,17837.0,United Kingdom,105,"250,95"
573131,2021-10-27,15622.0,United Kingdom,106,"381,95"
540099,2021-01-04,15808.0,United Kingdom,322,"733,92"
546220,2021-03-10,16745.0,United Kingdom,584,"541,10"
C578039,2021-11-22,17338.0,United Kingdom,-1,"-10,95"
560252,2021-07-17,13468.0,United Kingdom,61,"115,87"
569653,2021-10-05,12451.0,Switzerland,1650,"2539,56"
553545,2021-05-17,00000,United Kingdom,68,"430,14"
575475,2021-11-09,17702.0,United Kingdom,302,"485,60"
575703,2021-11-10,13767.0,United Kingdom,902,"1735,30"
556279,2021-06-09,14562.0,United Kingdom,59,"215,39"
578951,2021-11-27,15514.0,United Kingdom,277,"499,23"
578947,2021-11-27,14547.0,United Kingdom,438,"534,58"
570129,2021-10-07,12885.0,United Kingdom,293,"519,47"
566607,2021-09-13,13032.0,United Kingdom,175,"496,30"
580887,2021-12-06,13755.0,United Kingdom,80,"156,90"
C561682,2021-07-28,13631.0,United Kingdom,-7,"-48,65"
552523,2021-05-09,15797.0,United Kingdom,200,"330,00"
541263,2021-01-16,16843.0,United Kingdom,534,"759,06"
542796,2021-02-01,17356.0,United Kingdom,166,"178,22"
566776,2021-09-15,14911.0,EIRE,226,"368,37"
544170,2021-02-16,16148.0,United Kingdom,72,"76,32"
539469,2020-12-19,17841.0,United Kingdom,152,"283,52"
549670,2021-04-11,16168.0,United Kingdom,88,"141,20"
573902,2021-11-01,17428.0,United Kingdom,48,"311,18"
544826,2021-02-24,14513.0,United Kingdom,7,"18,75"
541086,2021-01-13,16503.0,United Kingdom,118,"353,70"
543824,2021-02-14,14631.0,United Kingdom,160,"309,50"
552464,2021-05-09,12726.0,France,333,"223,40"
C567359,2021-09-19,15201.0,United Kingdom,-14,"-8,59"
551515,2021-05-01,15606.0,United Kingdom,104,"320,88"
540160,2021-01-05,15769.0,United Kingdom,1032,"2574,48"
565631,2021-09-05,14680.0,United Kingdom,568,"1226,16"
580281,2021-12-02,12704.0,Finland,81,"198,76"
559157,2021-07-06,13999.0,United Kingdom,167,"307,03"
566257,2021-09-11,13324.0,United Kingdom,680,"855,60"
568724,2021-09-28,00000,United Kingdom,-21,"0,00"
554286,2021-05-23,17686.0,United Kingdom,97,"386,96"
546741,2021-03-16,13261.0,United Kingdom,20,"99,00"
546029,2021-03-09,15206.0,United Kingdom,6,"17,70"
543278,2021-02-06,16745.0,United Kingdom,406,"203,82"
540630,2021-01-10,17849.0,United Kingdom,19,"217,75"
559817,2021-07-12,00000,United Kingdom,652,"1839,58"
547563,2021-03-24,15651.0,United Kingdom,238,"227,32"
554105,2021-05-22,14711.0,United Kingdom,111,"213,06"
539442,2020-12-17,16558.0,United Kingdom,127,"311,15"
563952,2021-08-22,15572.0,United Kingdom,267,"679,25"
545162,2021-02-28,16187.0,United Kingdom,247,"480,90"
564966,2021-08-31,17677.0,United Kingdom,24,"34,80"
578354,2021-11-24,17139.0,United Kingdom,232,"468,52"
C555729,2021-06-06,13552.0,United Kingdom,-14,"-129,29"
550986,2021-04-21,00000,United Kingdom,378,"1654,97"
572926,2021-10-27,15659.0,United Kingdom,111,"306,45"
570292,2021-10-10,13418.0,United Kingdom,124,"370,68"
550972,2021-04-21,14031.0,United Kingdom,46,"99,63"
541850,2021-01-23,14224.0,United Kingdom,99,"244,30"
573124,2021-10-27,13654.0,United Kingdom,24,"99,60"
C565597,2021-09-05,12709.0,Germany,-5,"-19,03"
571080,2021-10-13,13719.0,United Kingdom,77,"250,49"
565420,2021-09-04,16326.0,United Kingdom,85,"313,05"
554633,2021-05-25,14287.0,United Kingdom,144,"17,28"
543464,2021-02-08,16779.0,United Kingdom,308,"364,32"
C540852,2021-01-12,15197.0,United Kingdom,-12,"-419,40"
553655,2021-05-18,16775.0,United Kingdom,31,"114,70"
553559,2021-05-17,14931.0,Channel Islands,1,"293,00"
551391,2021-04-28,15514.0,United Kingdom,152,"385,20"
559491,2021-07-08,00000,United Kingdom,119,"646,04"
544391,2021-02-18,15755.0,United Kingdom,198,"314,68"
C538692,2020-12-14,13599.0,United Kingdom,-2,"-7,24"
C542402,2021-01-27,16124.0,United Kingdom,-7,"-61,85"
542505,2021-01-28,00000,United Kingdom,2560,"0,00"
575039,2021-11-08,15005.0,United Kingdom,245,"327,22"
544098,2021-02-16,16019.0,United Kingdom,396,"1129,35"
C566472,2021-09-12,16187.0,United Kingdom,-8,"-39,60"
548997,2021-04-05,00000,United Kingdom,20,"0,00"
C562577,2021-08-07,15518.0,United Kingdom,-1,"-1,65"
C557879,2021-06-23,14911.0,EIRE,-1,"-4,25"
579495,2021-11-29,13576.0,United Kingdom,180,"327,48"
565852,2021-09-07,00000,United Kingdom,7,"14,10"
569550,2021-10-04,15955.0,United Kingdom,10,"8,50"
556827,2021-06-15,15134.0,United Kingdom,101,"171,63"
541278,2021-01-17,14135.0,United Kingdom,52,"167,40"
553192,2021-05-15,15333.0,United Kingdom,344,"1028,56"
549502,2021-04-08,00000,United Kingdom,1,"0,00"
548739,2021-04-04,15493.0,United Kingdom,106,"412,49"
562949,2021-08-11,14346.0,United Kingdom,501,"759,14"
542806,2021-02-01,12836.0,United Kingdom,254,"798,99"
573757,2021-11-01,17166.0,United Kingdom,21,"78,75"
542925,2021-02-02,14457.0,United Kingdom,88,"113,64"
545158,2021-02-28,15874.0,United Kingdom,52,"584,35"
549826,2021-04-12,15044.0,United Kingdom,114,"440,50"
573830,2021-11-01,16960.0,United Kingdom,76,"148,96"
548196,2021-03-29,16011.0,United Kingdom,63,"118,55"
575331,2021-11-09,13209.0,United Kingdom,593,"1049,66"
566491,2021-09-13,14060.0,United Kingdom,216,"294,24"
556514,2021-06-13,00000,United Kingdom,2,"23,25"
572670,2021-10-25,13685.0,United Kingdom,1524,"594,36"
554356,2021-05-24,12670.0,France,210,"393,34"
570868,2021-10-12,00000,United Kingdom,96,"0,00"
549264,2021-04-07,00000,United Kingdom,-21,"0,00"
566062,2021-09-08,14522.0,United Kingdom,251,"482,07"
545598,2021-03-04,00000,United Kingdom,-278,"0,00"
542965,2021-02-02,00000,United Kingdom,2,"0,00"
551293,2021-04-27,14298.0,United Kingdom,618,"428,64"
C543743,2021-02-11,12505.0,Italy,-1,"-4,50"
C546191,2021-03-10,16422.0,United Kingdom,-35,"-24,50"
C577131,2021-11-17,15861.0,United Kingdom,-1,"-165,00"
574747,2021-11-07,15618.0,United Kingdom,239,"357,81"
555846,2021-06-07,14180.0,United Kingdom,21,"149,15"
540455,2021-01-07,12583.0,France,491,"730,16"
573293,2021-10-28,00000,United Kingdom,10,"0,00"
562721,2021-08-08,15985.0,United Kingdom,208,"242,84"
545021,2021-02-25,17663.0,United Kingdom,179,"371,39"
555367,2021-06-02,17900.0,United Kingdom,49,"79,80"
569907,2021-10-06,12569.0,Germany,13,"77,40"
559819,2021-07-12,12682.0,France,117,"256,70"
C570331,2021-10-10,14606.0,United Kingdom,-1,"-0,39"
C565284,2021-09-02,12471.0,Germany,-13,"-84,72"
575579,2021-11-10,13081.0,United Kingdom,144,"72,00"
567918,2021-09-22,00000,United Kingdom,-1,"0,00"
578665,2021-11-24,16570.0,United Kingdom,208,"427,08"
547796,2021-03-25,14646.0,Netherlands,731,"1407,86"
554967,2021-05-27,00000,United Kingdom,1,"5,95"
C538531,2020-12-13,13715.0,United Kingdom,-2,"-7,50"
543032,2021-02-02,12990.0,United Kingdom,50,"97,50"
562166,2021-08-03,13209.0,United Kingdom,524,"595,26"
C561684,2021-07-28,13136.0,United Kingdom,-2,"-16,50"
556235,2021-06-09,12778.0,Netherlands,85,"84,00"
571741,2021-10-19,15610.0,United Kingdom,66,"112,46"
C546217,2021-03-10,14057.0,United Kingdom,-168,"-70,56"
537354,2020-12-06,12748.0,United Kingdom,85,"133,07"
560576,2021-07-19,17287.0,United Kingdom,110,"202,07"
581253,2021-12-08,16891.0,United Kingdom,28,"115,95"
576368,2021-11-14,00000,United Kingdom,-864,"0,00"
572913,2021-10-26,15993.0,United Kingdom,678,"863,89"
547324,2021-03-22,13014.0,United Kingdom,108,"317,80"
551900,2021-05-05,00000,United Kingdom,2,"0,00"
572534,2021-10-24,00000,United Kingdom,-2,"0,00"
579489,2021-11-29,16775.0,United Kingdom,27,"129,15"
565480,2021-09-05,18273.0,United Kingdom,40,"102,00"
565369,2021-09-02,00000,United Kingdom,1,"0,00"
551558,2021-05-03,17841.0,United Kingdom,152,"327,71"
C558202,2021-06-27,17841.0,United Kingdom,-3,"-7,45"
536614,2020-12-02,17850.0,United Kingdom,12,"22,20"
559525,2021-07-10,16923.0,United Kingdom,214,"391,52"
C543643,2021-02-10,16161.0,United Kingdom,-12,"-28,75"
536920,2020-12-03,00000,United Kingdom,58,"69,30"
560714,2021-07-20,14456.0,United Kingdom,20,"26,25"
548746,2021-04-04,12471.0,Germany,40,"50,00"
566248,2021-09-11,13272.0,United Kingdom,72,"140,96"
C577364,2021-11-18,14140.0,United Kingdom,-2,"-15,00"
565475,2021-09-05,14156.0,EIRE,5034,"7480,06"
565424,2021-09-04,15215.0,United Kingdom,92,"300,04"
540350,2021-01-06,18283.0,United Kingdom,61,"108,45"
553612,2021-05-18,17556.0,United Kingdom,101,"157,90"
540274,2021-01-06,14618.0,United Kingdom,92,"211,80"
550996,2021-04-26,16681.0,United Kingdom,260,"314,92"
581580,2021-12-09,12748.0,United Kingdom,82,"94,11"
C554519,2021-05-24,13549.0,United Kingdom,-1,"-2,08"
573987,2021-11-02,00000,United Kingdom,1,"0,00"
574149,2021-11-03,13709.0,United Kingdom,293,"774,90"
544408,2021-02-18,16726.0,United Kingdom,106,"61,00"
540273,2021-01-06,17368.0,United Kingdom,711,"563,15"
578993,2021-11-27,15987.0,United Kingdom,182,"244,86"
581395,2021-12-08,16892.0,United Kingdom,35,"123,12"
543279,2021-02-06,17105.0,United Kingdom,359,"319,40"
C546204,2021-03-10,13599.0,United Kingdom,-25,"-11,80"
577813,2021-11-22,14297.0,United Kingdom,458,"580,38"
545103,2021-02-28,15039.0,United Kingdom,2,"11,90"
552245,2021-05-06,12748.0,United Kingdom,14,"108,87"
C546416,2021-03-13,14800.0,United Kingdom,-8,"-10,50"
